# Continuity error
# Time        # Local       # Global      # Cumulative  
0.1           5.445390e-15	-8.862209e-18	-8.862209e-18
0.2           5.458344e-15	5.611265e-16	5.522643e-16
0.3           5.966837e-15	-9.206475e-17	4.601996e-16
0.4           5.780753e-15	1.659451e-16	6.261447e-16
0.5           6.022738e-15	1.371383e-17	6.398586e-16
0.6           5.541175e-15	1.441332e-16	7.839918e-16
0.7           5.736743e-15	1.344457e-16	9.184374e-16
0.8           5.840738e-15	-4.728139e-16	4.456235e-16
0.9           6.048922e-15	7.032110e-17	5.159446e-16
1             5.535441e-15	-2.619260e-16	2.540187e-16
