# Continuity error
# Time        # Local       # Global      # Cumulative  
0.1           5.147674e-15	1.685274e-17	1.685274e-17
0.2           5.938515e-15	-1.161140e-17	5.241349e-18
0.3           6.079974e-15	1.316270e-17	1.840405e-17
0.4           5.214426e-15	4.837809e-18	2.324186e-17
0.5           4.941945e-15	-5.403006e-18	1.783885e-17
0.6           5.313639e-15	2.395294e-17	4.179179e-17
0.7           5.624051e-15	-3.873210e-17	3.059686e-18
0.8           4.902481e-15	2.178234e-17	2.484202e-17
0.9           4.876165e-15	-7.559706e-18	1.728232e-17
1             5.678151e-15	5.952802e-17	7.681034e-17
