# Continuity error
# Time        # Local       # Global      # Cumulative  
0.05          6.167256e-15	9.511930e-18	9.511930e-18
0.1           6.113275e-15	6.728976e-18	1.624091e-17
0.15          6.235014e-15	2.290211e-17	3.914302e-17
0.2           6.053730e-15	-7.442811e-18	3.170021e-17
0.25          6.412985e-15	-2.387404e-18	2.931280e-17
0.3           6.409132e-15	-2.871465e-19	2.902565e-17
0.35          6.245154e-15	-3.123961e-18	2.590169e-17
0.4           6.461794e-15	3.584473e-18	2.948617e-17
0.45          6.370960e-15	-1.220809e-18	2.826536e-17
0.5           6.071608e-15	-1.885076e-18	2.638028e-17
0.55          6.281798e-15	-6.155009e-18	2.022527e-17
0.6           6.332253e-15	-3.450046e-18	1.677523e-17
0.65          6.254704e-15	7.215420e-18	2.399065e-17
0.7           6.081656e-15	-1.765436e-18	2.222521e-17
0.75          5.948938e-15	-3.218730e-18	1.900648e-17
0.8           5.943420e-15	2.266467e-18	2.127295e-17
0.85          6.096192e-15	1.408839e-17	3.536133e-17
0.9           5.989713e-15	4.937694e-18	4.029903e-17
0.95          5.848749e-15	1.114958e-17	5.144861e-17
1             5.626965e-15	-4.238742e-18	4.720987e-17
