# Continuity error
# Time        # Local       # Global      # Cumulative  
0.5           1.263756e-07	2.544517e-09	2.544517e-09
1             2.882832e-08	8.442531e-10	3.388770e-09
1.5           1.421909e-08	-6.909947e-10	2.697775e-09
2             9.875330e-09	-5.850236e-10	2.112752e-09
2.5           7.338722e-09	3.378652e-10	2.450617e-09
3             6.469903e-09	3.077733e-10	2.758390e-09
3.5           7.197372e-09	3.226795e-10	3.081070e-09
4             5.973876e-09	3.298265e-10	3.410896e-09
4.5           6.529950e-09	3.929680e-10	3.803864e-09
5             6.029985e-09	3.828756e-10	4.186740e-09
5.5           4.414278e-09	2.856815e-10	4.472421e-09
6             3.410967e-09	2.125369e-10	4.684958e-09
6.5           3.673495e-09	2.144001e-10	4.899359e-09
7             1.280397e-08	6.458316e-10	5.545190e-09
7.5           2.857008e-09	1.758326e-10	5.721023e-09
8             2.587932e-09	1.634205e-10	5.884443e-09
8.5           2.354174e-09	1.527629e-10	6.037206e-09
9             1.954082e-09	1.335025e-10	6.170709e-09
9.5           1.675923e-09	1.202424e-10	6.290951e-09
10            1.756998e-09	1.236241e-10	6.414575e-09
