# Continuity error
# Time        # Local       # Global      # Cumulative  
0.5           1.182182e-07	2.960893e-09	2.960893e-09
1             2.941269e-08	-2.290634e-09	6.702589e-10
1.5           1.667620e-08	6.224817e-10	1.292741e-09
2             1.354887e-08	1.099090e-09	2.391830e-09
2.5           1.215243e-08	1.337809e-09	3.729639e-09
3             1.057316e-08	1.069842e-09	4.799480e-09
3.5           8.200232e-09	9.918138e-10	5.791294e-09
4             7.376055e-09	9.059134e-10	6.697208e-09
4.5           6.327700e-09	-1.397966e-11	6.683228e-09
5             4.291522e-09	5.543067e-10	7.237535e-09
5.5           4.267592e-09	5.832204e-10	7.820755e-09
6             3.559023e-09	5.034488e-10	8.324204e-09
6.5           3.174875e-09	4.542455e-10	8.778449e-09
7             2.795489e-09	4.215717e-10	9.200021e-09
7.5           2.076072e-09	3.315511e-10	9.531572e-09
8             1.958429e-09	3.146772e-10	9.846250e-09
8.5           1.985168e-09	3.128651e-10	1.015911e-08
9             9.317875e-10	1.550628e-10	1.031418e-08
9.5           1.166415e-09	1.849819e-10	1.049916e-08
10            1.049787e-09	1.602094e-10	1.065937e-08
