# Continuity error
# Time        # Local       # Global      # Cumulative  
0.5           8.387351e-08	1.532956e-09	1.532956e-09
1             1.514801e-08	4.599170e-10	1.992873e-09
1.5           7.490864e-09	4.329960e-10	2.425869e-09
2             5.596056e-09	3.804349e-10	2.806303e-09
2.5           3.992669e-09	-2.606648e-10	2.545639e-09
3             2.850099e-09	-1.381121e-10	2.407527e-09
3.5           2.211149e-09	-1.072741e-10	2.300253e-09
4             1.794046e-09	-7.488438e-11	2.225368e-09
4.5           1.485338e-09	7.710345e-11	2.302472e-09
5             1.421467e-09	7.708929e-11	2.379561e-09
5.5           1.289380e-09	7.053917e-11	2.450100e-09
6             1.315108e-09	7.223715e-11	2.522337e-09
6.5           1.251020e-09	6.758659e-11	2.589924e-09
7             1.051886e-09	5.790979e-11	2.647834e-09
7.5           1.002441e-09	5.706728e-11	2.704901e-09
8             9.348077e-10	5.554788e-11	2.760449e-09
8.5           8.616718e-10	5.321501e-11	2.813664e-09
9             7.924297e-10	5.015902e-11	2.863823e-09
9.5           7.338587e-10	4.658512e-11	2.910408e-09
10            7.846604e-10	4.917893e-11	2.959587e-09
