# Continuity error
# Time        # Local       # Global      # Cumulative  
0.5           3.679502e-08	5.860889e-10	5.860889e-10
1             4.719649e-09	6.078627e-11	6.468751e-10
1.5           4.208559e-09	5.505168e-11	7.019268e-10
2             2.611654e-08	2.301547e-10	9.320815e-10
2.5           3.867256e-09	5.027223e-11	9.823538e-10
3             2.968511e-09	4.557767e-11	1.027931e-09
3.5           2.801731e-09	7.154360e-11	1.099475e-09
4             1.051904e-08	2.854519e-10	1.384927e-09
4.5           2.467028e-09	5.555442e-11	1.440481e-09
5             2.093180e-09	5.206975e-11	1.492551e-09
5.5           2.048612e-09	5.503405e-11	1.547585e-09
6             1.666923e-09	4.406063e-11	1.591646e-09
6.5           1.478736e-09	4.598359e-11	1.637629e-09
7             1.341370e-09	5.026676e-11	1.687896e-09
7.5           1.153539e-09	-2.137376e-11	1.666522e-09
8             1.202958e-09	-3.453394e-11	1.631988e-09
8.5           1.007554e-09	-2.753940e-11	1.604449e-09
9             1.575268e-09	-4.168831e-11	1.562761e-09
9.5           1.147488e-09	-2.625952e-11	1.536501e-09
10            1.161064e-09	-2.255842e-11	1.513943e-09
10.5          1.062277e-09	-2.856045e-11	1.485382e-09
11            1.060430e-09	-3.095336e-11	1.454429e-09
11.5          1.168398e-09	-3.069852e-11	1.423730e-09
12            9.891410e-10	-3.165601e-11	1.392074e-09
12.5          1.058096e-09	-2.183779e-11	1.370237e-09
13            7.952155e-10	-6.229263e-12	1.364007e-09
13.5          2.040090e-09	2.737464e-11	1.391382e-09
14            1.197022e-09	1.116759e-11	1.402550e-09
14.5          1.071300e-09	1.506920e-11	1.417619e-09
15            8.660658e-10	1.606246e-11	1.433681e-09
15.5          1.067139e-09	1.016643e-11	1.443848e-09
16            1.352150e-09	-2.407320e-12	1.441440e-09
16.5          8.949864e-10	9.591453e-12	1.451032e-09
17            1.461967e-09	2.789481e-11	1.478927e-09
17.5          8.897150e-10	4.506934e-12	1.483434e-09
18            9.499204e-10	-7.808024e-12	1.475626e-09
18.5          7.577516e-10	-9.271449e-12	1.466354e-09
19            7.843331e-10	-1.162804e-11	1.454726e-09
19.5          8.927621e-10	-1.239060e-11	1.442335e-09
20            1.703516e-09	-4.450903e-11	1.397826e-09
